variable,year,value,unit
tas,2021,16.929247285216313,°C
tas,2022,17.14147609628976,°C
tas,2023,17.3123880345677,°C
tas,2024,16.952558757047935,°C
tas,2025,17.494129657057506,°C
tas,2026,17.038622066890163,°C
tas,2027,17.53063444465347,°C
tas,2028,17.172440597733665,°C
tas,2029,16.946099091123966,°C
tas,2030,17.038076263098688,°C
huss,2021,11.325101835179172,g/kg
huss,2022,11.090366355895029,g/kg
huss,2023,11.25695555883203,g/kg
huss,2024,10.98458989765965,g/kg
huss,2025,11.34656351114852,g/kg
huss,2026,11.128752735320392,g/kg
huss,2027,11.316319254272347,g/kg
huss,2028,11.205829154785501,g/kg
huss,2029,11.310849669534353,g/kg
huss,2030,11.27967272745646,g/kg
rsds,2021,160.57727422355325,W/m2
rsds,2022,165.6414902883774,W/m2
rsds,2023,163.3993286502309,W/m2
rsds,2024,167.1532315549225,W/m2
rsds,2025,165.13151089650287,W/m2
rsds,2026,162.188579454802,W/m2
rsds,2027,167.3390738458396,W/m2
rsds,2028,165.21980654409887,W/m2
rsds,2029,159.19249350193112,W/m2
rsds,2030,165.02940149572314,W/m2
sfcwind,2021,2.76680492420639,m/s
sfcwind,2022,2.789790374904154,m/s
sfcwind,2023,2.7789783904684064,m/s
sfcwind,2024,2.7958335649155663,m/s
sfcwind,2025,2.722437404595652,m/s
sfcwind,2026,2.7719185180868315,m/s
sfcwind,2027,2.768649728747887,m/s
sfcwind,2028,2.8025913486456338,m/s
sfcwind,2029,2.6974609455857146,m/s
sfcwind,2030,2.736426157445426,m/s
ps,2021,991.0918986765022,hPa
ps,2022,991.3047070961071,hPa
ps,2023,991.205513686123,hPa
ps,2024,991.6391842902132,hPa
ps,2025,991.2293258219023,hPa
ps,2026,991.250538077032,hPa
ps,2027,990.8579211962111,hPa
ps,2028,991.0115875214451,hPa
ps,2029,990.9521256681928,hPa
ps,2030,991.1925239545411,hPa
