variable,zone,month,value,unit
tas,北部沿海（≥35°N）,1,-5.344929471993672,°C
tas,北部沿海（≥35°N）,2,-2.236007366589262,°C
tas,北部沿海（≥35°N）,3,3.6722793287660807,°C
tas,北部沿海（≥35°N）,4,11.19851868484886,°C
tas,北部沿海（≥35°N）,5,17.871162257386754,°C
tas,北部沿海（≥35°N）,6,21.860141880576403,°C
tas,北部沿海（≥35°N）,7,24.535651660696548,°C
tas,北部沿海（≥35°N）,8,24.38580773620592,°C
tas,北部沿海（≥35°N）,9,19.578496721227864,°C
tas,北部沿海（≥35°N）,10,12.880304805674674,°C
tas,北部沿海（≥35°N）,11,4.072572196568819,°C
tas,北部沿海（≥35°N）,12,-2.802073784069616,°C
tas,中部沿海（25–35°N）,1,5.733033995538116,°C
tas,中部沿海（25–35°N）,2,6.312161832962739,°C
tas,中部沿海（25–35°N）,3,9.941916263316157,°C
tas,中部沿海（25–35°N）,4,15.463434458049067,°C
tas,中部沿海（25–35°N）,5,20.723363776155388,°C
tas,中部沿海（25–35°N）,6,24.103486630388076,°C
tas,中部沿海（25–35°N）,7,27.776984823118347,°C
tas,中部沿海（25–35°N）,8,27.18695901820424,°C
tas,中部沿海（25–35°N）,9,24.231371157024654,°C
tas,中部沿海（25–35°N）,10,19.08284240527498,°C
tas,中部沿海（25–35°N）,11,12.46446149994956,°C
tas,中部沿海（25–35°N）,12,7.151985290489303,°C
tas,南部沿海（<25°N）,1,14.914158436438338,°C
tas,南部沿海（<25°N）,2,15.440295422526935,°C
tas,南部沿海（<25°N）,3,18.914234281005772,°C
tas,南部沿海（<25°N）,4,23.06038363579185,°C
tas,南部沿海（<25°N）,5,25.865251618255513,°C
tas,南部沿海（<25°N）,6,26.994013931730176,°C
tas,南部沿海（<25°N）,7,28.204084793467374,°C
tas,南部沿海（<25°N）,8,27.866900595975512,°C
tas,南部沿海（<25°N）,9,26.84546018771395,°C
tas,南部沿海（<25°N）,10,24.266870264425293,°C
tas,南部沿海（<25°N）,11,19.87983567364012,°C
tas,南部沿海（<25°N）,12,16.526372818249474,°C
huss,北部沿海（≥35°N）,1,1.5712460539731856,g/kg
huss,北部沿海（≥35°N）,2,1.8058789015004224,g/kg
huss,北部沿海（≥35°N）,3,2.726780119213363,g/kg
huss,北部沿海（≥35°N）,4,4.583514593692785,g/kg
huss,北部沿海（≥35°N）,5,8.194281369166037,g/kg
huss,北部沿海（≥35°N）,6,12.520175728648077,g/kg
huss,北部沿海（≥35°N）,7,16.239663637120152,g/kg
huss,北部沿海（≥35°N）,8,15.910792679378687,g/kg
huss,北部沿海（≥35°N）,9,11.042253371234743,g/kg
huss,北部沿海（≥35°N）,10,6.23768303559948,g/kg
huss,北部沿海（≥35°N）,11,3.178601842097874,g/kg
huss,北部沿海（≥35°N）,12,1.7665929271037883,g/kg
huss,中部沿海（25–35°N）,1,4.6580202699538305,g/kg
huss,中部沿海（25–35°N）,2,4.765071134525856,g/kg
huss,中部沿海（25–35°N）,3,6.325730247225975,g/kg
huss,中部沿海（25–35°N）,4,8.843316775421908,g/kg
huss,中部沿海（25–35°N）,5,12.208758681223793,g/kg
huss,中部沿海（25–35°N）,6,15.975675424822981,g/kg
huss,中部沿海（25–35°N）,7,19.495166969187654,g/kg
